發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月01日 04時49分00秒,屏東縣萬巒鄉鹿寮村三多路1-8號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.560111,22.567105
110年01月01日 04時57分00秒,臺中市霧峰區西柳橋頭,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.680001,24.070698
110年01月01日 07時30分00秒,南投縣仁愛鄉台8線 111公里100.0公尺處北側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.303376,24.191833
110年01月01日 09時00分00秒,臺中市梧棲區福德里港埠路二段 / 臺中市梧棲區福德里中興路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.536745,24.252353
110年01月01日 13時32分00秒,新北市新莊區新北市新莊區中正路1號與中正路,死亡1;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人,121.465555,25.041909
110年01月01日 15時40分00秒,雲林縣大埤鄉157線330464號燈處,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.416580,23.634047
110年01月01日 16時04分00秒,臺南市玉井區台20線 28公里800.0公尺處西側向外側,死亡2;受傷2,自用-小客車;乘客-人;乘客-人;乘客-人,120.423783,23.071161
110年01月01日 19時43分00秒,苗栗縣南庄鄉台三線98.8公里處,死亡1;受傷0,行人-人;營業用-小貨車(含客、貨兩用),120.957925,24.600989
110年01月02日 09時42分00秒,臺中市龍井區竹坑里中華路1段前0.0公尺,死亡1;受傷0,普通重型-機車;民營公車-大客車,120.543028,24.171578
110年01月02日 09時58分00秒,嘉義縣布袋鎮東港里172線與村里道路路口,死亡1;受傷0,普通重型-機車;自用-大貨車,120.186905,23.373336
110年01月02日 20時58分30秒,宜蘭縣冬山鄉鹿埔路東側 / 宜蘭縣冬山鄉鹿梅路東側,死亡1;受傷0,普通重型-機車,121.745872,24.656693
110年01月02日 21時28分00秒,宜蘭縣三星鄉上將路2段190號附近,死亡1;受傷0,自用-小客車;行人-人,121.733743,24.696659
110年01月03日 04時27分15秒,南投縣埔里鎮中正路129-10號,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車,120.978169,23.946037
110年01月03日 23時13分00秒,新北市五股區新北市五股區中興路3段與新五路2段,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,121.441968,25.081495
110年01月04日 10時00分00秒,桃園市龍潭區龍新路三和段1689巷1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.162304,24.845509
110年01月04日 11時38分00秒,新北市淡水區新北市淡水區中正東路1段105巷與中正東路1段,死亡1;受傷0,自用-小客車;普通重型-機車,121.453435,25.161918
110年01月04日 11時44分00秒,臺中市大里區永隆里東榮路 / 臺中市大里區永隆里永隆路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.676629,24.109353
110年01月04日 15時22分32秒,屏東縣竹田鄉龍門路242號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.523701,22.625022
110年01月04日 21時04分00秒,臺北市士林區大東路90-2號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.525558,25.091478
110年01月04日 23時27分00秒,彰化縣花壇鄉崙雅村花秀路 / 彰化縣花壇鄉崙雅村花秀路,死亡1;受傷0,普通重型-機車,120.525469,24.032475
110年01月05日 00時13分00秒,宜蘭縣五結鄉噶瑪蘭橋018號路燈附近,死亡1;受傷1,租賃車-小客車;營業用-曳引車,121.820238,24.712110
110年01月05日 05時17分00秒,新北市板橋區新北市板橋區篤行路3段與玉平巷76弄,死亡1;受傷1,行人-人;普通重型-機車,121.427843,24.985126
110年01月05日 06時42分58秒,臺南市善化區南科七路與三抱竹路路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.268809,23.107662
110年01月05日 07時25分00秒,臺東縣卑南鄉太平路口 / 臺東縣卑南鄉太平路口,死亡1;受傷1,普通重型-機車;行人-人,121.081728,22.786144
110年01月05日 11時10分00秒,嘉義縣溪口鄉游東村游厝庄嘉176線0.5公里處(電桿興安19南10A),死亡1;受傷0,自用-大貨車;普通重型-機車,120.396445,23.624008
110年01月05日 15時20分00秒,高雄市彌陀區樂安路 / 高雄市彌陀區樂安路廟巷段,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.243525,22.767126
110年01月06日 02時10分00秒,桃園市八德區福德一路附近 / 桃園市八德區和成路附近,死亡1;受傷0,行人-人;營業用-小貨車(含客、貨兩用),121.322960,24.960730
110年01月06日 02時32分00秒,苗栗縣通霄鎮台1線 124公里500.0公尺處南側,死亡1;受傷1,普通重型-機車;乘客-人,120.710727,24.565747
